娛樂稅稅源,申報家(件)數,查定家(件)數,申報營業總額,查定營業總額,本月份申報報繳稅額,本月份查定報繳稅額,申報報繳稅額累計數,查定報繳稅額累計數,本月份申報實徵稅額,本月份查定實徵稅額,申報實徵稅額累計數,查定實徵稅額累計數,,,,,
合　　計,456,,"69,841,569",,"2,299,344",,"15,565,417",,"2,363,033",,"15,629,788",,,,,,
自動申報-總計,35,,"52,626,164",,"1,409,051",,"7,241,810",,"1,444,134",,"7,239,166",,,,,,
查定課徵-總計,420,,"17,173,805",,"889,901",,"8,185,047",,"918,510",,"8,250,434",,,,,,
臨時公演-總計,1,,"41,600",,392,,"138,560",,389 ,,"140,188",,,,,,
違章補徵稅款-總計,,,,,,,,,,,,,,,,,
電影0-小　　　計, 2 , - ," 4,022,714 ", - ," 17,653 ", - ," 173,531 ", - ," 17,653 ", - ," 173,531 ", - ,,,,,
電影0-本國片繁榮地區A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片偏僻地區B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片郊區C, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片繁榮地區D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片偏僻地區E, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片郊區F, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-國洋片混片G, 2 , - ," 4,022,714 ", - ," 17,653 ", - ," 173,531 ", - ," 17,653 ", - ," 173,531 ", - ,,,,,
電影0-其他H, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 歌廳1, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 撞球場2　, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 保齡球館3, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
高爾夫球場4-小　計, 1 , - ," 3,706,878 ", - ," 168,494 ", - ," 1,653,212 ", - ," 168,494 ", - ," 1,653,212 ", - ,,,,,
高爾夫球場4-球　場A, 1 , - ," 3,706,878 ", - ," 168,494 ", - ," 1,653,212 ", - ," 168,494 ", - ," 1,653,212 ", - ,,,,,
高爾夫球場4-練習場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-小　計, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　廳A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-小　　　計, - , 28 , - ," 1,881,080 ", - ," 124,649 ", - ," 1,106,701 ", - ," 162,533 ", - ," 1,105,163 ",,,,,
電子遊戲機6-電動玩具、小鋼珠A, - , 13 , - ," 1,699,580 ", - ," 115,649 ", - ," 1,025,701 ", - ," 154,133 ", - ," 1,025,121 ",,,,,
電子遊戲機6-娃娃機B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-其　他C, - , 15 , - ," 181,500 ", - ," 9,000 ", - ," 81,000 ", - ," 8,400 ", - ," 80,042 ",,,,,
 有節目餐飲業7, - , 1 , - ," 13,125 ", - , 625 , - ," 8,300 ", - , 625 , - ," 26,918 ",,,,,
視聽視唱業8-小　　　計, 5 , 108 ," 3,454,643 "," 4,323,000 "," 172,558 "," 220,227 "," 1,381,250 "," 1,992,571 "," 172,558 "," 224,576 "," 1,381,250 "," 1,989,003 ",,,,,
視聽視唱業8-KTV(卡拉ok)投幣式A, - , 56 , - ," 1,090,100 ", - ," 54,204 ", - ," 475,292 ", - ," 57,262 ", - ," 529,732 ",,,,,
視聽視唱業8-KTV(卡拉ok)非投幣式B, 5 , 52 ," 3,454,643 "," 3,232,900 "," 172,558 "," 166,023 "," 1,381,250 "," 1,517,279 "," 172,558 "," 167,314 "," 1,381,250 "," 1,459,271 ",,,,,
視聽視唱業8-MTV C, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
視聽視唱業8-其　他D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
其他9-小計, 27 , 283 ," 41,441,929 "," 10,956,600 "," 1,050,346 "," 544,400 "," 4,033,817 "," 5,077,475 "," 1,085,429 "," 530,776 "," 4,031,173 "," 5,129,350 ",,,,,
其他9-資訊休閒業A, - , 5 , - ," 1,224,600 ", - ," 61,230 ", - ," 565,670 ", - ," 56,866 ", - ," 572,632 ",,,,,
其他9-電動搖搖馬B, - , 27 , - ," 155,250 ", - ," 8,695 ", - ," 75,595 ", - ," 7,495 ", - ," 77,070 ",,,,,
其他9-具娛樂性之選物販賣機C, 1 , 171 ," 104,557 "," 8,211,650 "," 4,753 "," 414,595 "," 28,741 "," 3,945,140 "," 4,753 "," 423,804 "," 28,741 "," 4,018,597 ",,,,,
其他9-機動遊藝樂園D, 1 , - ," 24,511,540 ", - ," 263,081 ", - ," 1,402,648 ", - ," 263,081 ", - ," 1,402,648 ", - ,,,,,
其他9-機動遊艇、動力飛行器E, - , 17 , - ," 224,000 ", - ," 7,400 ", - ," 66,600 ", - ," 7,400 ", - ," 66,300 ",,,,,
其他9-實境體感娛樂設施F, 1 , - ," 535,177 ", - ," 26,759 ", - ," 125,880 ", - ," 26,759 ", - ," 125,880 ", - ,,,,,
